label,i,j,K_ij
attn,1,0,0.614715039730072
attn,2,0,0.6083629131317139
attn,2,1,0.6041476726531982
attn,3,0,0.6665548086166382
attn,3,1,0.6579055786132812
attn,3,2,0.6529972553253174
attn,4,0,0.6214449405670166
attn,4,1,0.6195908784866333
attn,4,2,0.6191172003746033
attn,4,3,0.6684883832931519
attn,5,0,0.602336049079895
attn,5,1,0.6026771664619446
attn,5,2,0.6026906967163086
attn,5,3,0.6481592655181885
attn,5,4,0.614891529083252
attn,6,0,0.5716003179550171
attn,6,1,0.5617585778236389
attn,6,2,0.561585009098053
attn,6,3,0.617548942565918
attn,6,4,0.5720920562744141
attn,6,5,0.5680926442146301
attn,7,0,0.5424153804779053
attn,7,1,0.5446135997772217
attn,7,2,0.5463681221008301
attn,7,3,0.5953950881958008
attn,7,4,0.5509284734725952
attn,7,5,0.5529518127441406
attn,7,6,0.5092533230781555
attn,8,0,0.5961282849311829
attn,8,1,0.5877014398574829
attn,8,2,0.5874908566474915
attn,8,3,0.6431349515914917
attn,8,4,0.60518479347229
attn,8,5,0.587281346321106
attn,8,6,0.5572489500045776
attn,8,7,0.52805495262146
attn,9,0,0.5675845146179199
attn,9,1,0.5633575320243835
attn,9,2,0.5667706727981567
attn,9,3,0.6159579753875732
attn,9,4,0.5799182653427124
attn,9,5,0.5674837827682495
attn,9,6,0.5223511457443237
attn,9,7,0.5213461518287659
attn,9,8,0.5390183329582214
attn,10,0,0.6107900142669678
attn,10,1,0.6034574508666992
attn,10,2,0.5954266786575317
attn,10,3,0.661450982093811
attn,10,4,0.6279818415641785
attn,10,5,0.60770183801651
attn,10,6,0.5750081539154053
attn,10,7,0.5573057532310486
attn,10,8,0.594997763633728
attn,10,9,0.568205714225769
attn,11,0,0.5934187769889832
attn,11,1,0.5811772346496582
attn,11,2,0.5896421670913696
attn,11,3,0.6292727589607239
attn,11,4,0.5914994478225708
attn,11,5,0.5774798393249512
attn,11,6,0.5412682294845581
attn,11,7,0.5271278619766235
attn,11,8,0.5660550594329834
attn,11,9,0.5440571308135986
attn,11,10,0.5767078399658203
attn,12,0,0.6057851314544678
attn,12,1,0.5936781167984009
attn,12,2,0.5985419750213623
attn,12,3,0.6551767587661743
attn,12,4,0.615737795829773
attn,12,5,0.6070565581321716
attn,12,6,0.5537545680999756
attn,12,7,0.558941125869751
attn,12,8,0.5964624285697937
attn,12,9,0.5613306760787964
attn,12,10,0.6009092330932617
attn,12,11,0.5876268148422241
attn,13,0,0.6014367341995239
attn,13,1,0.5995290279388428
attn,13,2,0.6038854122161865
attn,13,3,0.6519221067428589
attn,13,4,0.6139802932739258
attn,13,5,0.6045803427696228
attn,13,6,0.5576428174972534
attn,13,7,0.5523115396499634
attn,13,8,0.583737850189209
attn,13,9,0.5607867240905762
attn,13,10,0.6013697385787964
attn,13,11,0.5822033882141113
attn,13,12,0.596687376499176
attn,14,0,0.5868037939071655
attn,14,1,0.5834915041923523
attn,14,2,0.5799267888069153
attn,14,3,0.6247556805610657
attn,14,4,0.6016465425491333
attn,14,5,0.5748397707939148
attn,14,6,0.5506923198699951
attn,14,7,0.534713625907898
attn,14,8,0.5669673681259155
attn,14,9,0.5516160726547241
attn,14,10,0.590915858745575
attn,14,11,0.5751190781593323
attn,14,12,0.5839964151382446
attn,14,13,0.5851929783821106
attn,15,0,0.5350373983383179
attn,15,1,0.5265288352966309
attn,15,2,0.5215670466423035
attn,15,3,0.5633688569068909
attn,15,4,0.5423208475112915
attn,15,5,0.5376207828521729
attn,15,6,0.4962581396102905
attn,15,7,0.48992419242858887
attn,15,8,0.5150655508041382
attn,15,9,0.5044347047805786
attn,15,10,0.5362655520439148
attn,15,11,0.5130643248558044
attn,15,12,0.5359890460968018
attn,15,13,0.5217779874801636
attn,15,14,0.5221381187438965
attn,16,0,0.5725188255310059
attn,16,1,0.5665895938873291
attn,16,2,0.5762225389480591
attn,16,3,0.617656946182251
attn,16,4,0.5921344757080078
attn,16,5,0.5673303604125977
attn,16,6,0.5381505489349365
attn,16,7,0.5203018188476562
attn,16,8,0.5608464479446411
attn,16,9,0.5218773484230042
attn,16,10,0.5777565240859985
attn,16,11,0.5552642345428467
attn,16,12,0.5717410445213318
attn,16,13,0.5649320483207703
attn,16,14,0.5626031756401062
attn,16,15,0.5042961835861206
attn,17,0,0.5655112862586975
attn,17,1,0.5586076378822327
attn,17,2,0.5616275072097778
attn,17,3,0.6087603569030762
attn,17,4,0.5794822573661804
attn,17,5,0.5520904064178467
attn,17,6,0.5196267366409302
attn,17,7,0.5055427551269531
attn,17,8,0.5479742288589478
attn,17,9,0.5192431807518005
attn,17,10,0.5676271319389343
attn,17,11,0.5441194772720337
attn,17,12,0.5564471483230591
attn,17,13,0.5633888244628906
attn,17,14,0.5505342483520508
attn,17,15,0.4924798011779785
attn,17,16,0.5412110090255737
attn,18,0,0.5548243522644043
attn,18,1,0.553896963596344
attn,18,2,0.5667842030525208
attn,18,3,0.600561797618866
attn,18,4,0.5760291814804077
attn,18,5,0.5493425130844116
attn,18,6,0.5211896896362305
attn,18,7,0.5193930268287659
attn,18,8,0.5405365824699402
attn,18,9,0.5198980569839478
attn,18,10,0.5664039850234985
attn,18,11,0.5480816960334778
attn,18,12,0.5581435561180115
attn,18,13,0.5516301989555359
attn,18,14,0.5627079010009766
attn,18,15,0.4978843331336975
attn,18,16,0.5419390201568604
attn,18,17,0.5159587264060974
attn,19,0,0.582077145576477
attn,19,1,0.5710017085075378
attn,19,2,0.554655909538269
attn,19,3,0.6226766109466553
attn,19,4,0.5862950086593628
attn,19,5,0.5622915029525757
attn,19,6,0.531883716583252
attn,19,7,0.5126863718032837
attn,19,8,0.5664368867874146
attn,19,9,0.5212916135787964
attn,19,10,0.5790681838989258
attn,19,11,0.543125569820404
attn,19,12,0.5615059733390808
attn,19,13,0.5629172325134277
attn,19,14,0.5501176118850708
attn,19,15,0.4956004023551941
attn,19,16,0.5308166742324829
attn,19,17,0.5334532856941223
attn,19,18,0.5167701840400696
attn,20,0,0.6489376425743103
attn,20,1,0.6413012742996216
attn,20,2,0.6354153156280518
attn,20,3,0.7023518681526184
attn,20,4,0.6565510034561157
attn,20,5,0.6337370872497559
attn,20,6,0.592363715171814
attn,20,7,0.5825937390327454
attn,20,8,0.6222351789474487
attn,20,9,0.6023998260498047
attn,20,10,0.6479809284210205
attn,20,11,0.6153641939163208
attn,20,12,0.641028642654419
attn,20,13,0.6380724906921387
