label,i,j,K_ij
fcnn,1,0,51.995975494384766
fcnn,2,0,54.9012336730957
fcnn,2,1,49.506221771240234
fcnn,3,0,54.18574523925781
fcnn,3,1,49.081932067871094
fcnn,3,2,52.36973571777344
fcnn,4,0,59.894840240478516
fcnn,4,1,47.346343994140625
fcnn,4,2,55.30974578857422
fcnn,4,3,52.52388000488281
fcnn,5,0,43.25468444824219
fcnn,5,1,34.52632522583008
fcnn,5,2,39.97874450683594
fcnn,5,3,32.596435546875
fcnn,5,4,39.939613342285156
fcnn,6,0,54.797523498535156
fcnn,6,1,45.63233184814453
fcnn,6,2,50.67851257324219
fcnn,6,3,50.231849670410156
fcnn,6,4,53.12085723876953
fcnn,6,5,36.467254638671875
fcnn,7,0,39.81763458251953
fcnn,7,1,32.50936508178711
fcnn,7,2,39.30479049682617
fcnn,7,3,38.65260696411133
fcnn,7,4,40.13594055175781
fcnn,7,5,36.298336029052734
fcnn,7,6,36.34144592285156
fcnn,8,0,56.316280364990234
fcnn,8,1,49.112945556640625
fcnn,8,2,59.07426452636719
fcnn,8,3,53.62567901611328
fcnn,8,4,56.844078063964844
fcnn,8,5,41.26935958862305
fcnn,8,6,52.19435119628906
fcnn,8,7,41.18644714355469
fcnn,9,0,32.79057312011719
fcnn,9,1,23.457122802734375
fcnn,9,2,31.888391494750977
fcnn,9,3,31.21175765991211
fcnn,9,4,34.04458999633789
fcnn,9,5,34.26832580566406
fcnn,9,6,31.456378936767578
fcnn,9,7,33.96379089355469
fcnn,9,8,32.210693359375
fcnn,10,0,53.77275848388672
fcnn,10,1,46.1264762878418
fcnn,10,2,62.07319641113281
fcnn,10,3,48.37539291381836
fcnn,10,4,52.47629928588867
fcnn,10,5,42.645729064941406
fcnn,10,6,47.73721694946289
fcnn,10,7,37.229454040527344
fcnn,10,8,55.3510627746582
fcnn,10,9,29.826040267944336
fcnn,11,0,60.70030212402344
fcnn,11,1,45.56591796875
fcnn,11,2,51.41259002685547
fcnn,11,3,52.22955322265625
fcnn,11,4,56.75292205810547
fcnn,11,5,36.84434509277344
fcnn,11,6,49.42514419555664
fcnn,11,7,41.540245056152344
fcnn,11,8,52.02467346191406
fcnn,11,9,29.44296646118164
fcnn,11,10,48.77348327636719
fcnn,12,0,57.71441650390625
fcnn,12,1,50.807472229003906
fcnn,12,2,51.14619445800781
fcnn,12,3,57.64054870605469
fcnn,12,4,54.47554016113281
fcnn,12,5,39.27772903442383
fcnn,12,6,49.59404754638672
fcnn,12,7,33.612022399902344
fcnn,12,8,54.7069206237793
fcnn,12,9,29.33261489868164
fcnn,12,10,48.26649475097656
fcnn,12,11,51.54454040527344
fcnn,13,0,44.061607360839844
fcnn,13,1,34.250457763671875
fcnn,13,2,38.55734634399414
fcnn,13,3,37.57572937011719
fcnn,13,4,45.03208541870117
fcnn,13,5,40.81330490112305
fcnn,13,6,39.06280517578125
fcnn,13,7,37.58454513549805
fcnn,13,8,40.19342041015625
fcnn,13,9,31.671035766601562
fcnn,13,10,36.47907257080078
fcnn,13,11,42.311302185058594
fcnn,13,12,40.27847671508789
fcnn,14,0,50.620277404785156
fcnn,14,1,42.30717086791992
fcnn,14,2,46.872032165527344
fcnn,14,3,43.829689025878906
fcnn,14,4,51.483436584472656
fcnn,14,5,36.99219512939453
fcnn,14,6,44.51647186279297
fcnn,14,7,33.18711471557617
fcnn,14,8,46.80821990966797
fcnn,14,9,32.09089660644531
fcnn,14,10,47.04454803466797
fcnn,14,11,48.352630615234375
fcnn,14,12,46.3813362121582
fcnn,14,13,38.49736785888672
fcnn,15,0,48.46856689453125
fcnn,15,1,40.53786087036133
fcnn,15,2,45.06739807128906
