Wall time,Step,Value,Std
1737740256.62238,1,0,0
1737740256.62393,2,0.24677163362503,0.216395929455757
1737740256.62637,3,0.436036974191666,0.417853564023972
1737740256.62903,4,0.655404508113861,0.618762671947479
1737740256.63144,5,0.879674673080444,0.835791349411011
1737740256.63367,6,1.14335739612579,1.0930860042572
1737740256.63614,7,1.38344192504883,1.31605398654938
1737740256.6385,8,1.67216575145721,1.61348783969879
1737740256.64306,9,1.99493026733398,1.97506046295166
1737740256.64439,10,2.27859807014465,2.19756197929382
1737740256.64573,11,2.58035397529602,2.47177410125732
1737740256.64772,12,2.96099948883057,2.91897487640381
1737740256.64904,13,3.36557602882385,3.51643490791321
1737740256.65041,14,3.91450786590576,4.33812952041626
1737740256.65562,15,4.36311149597168,4.89788913726807
1737740256.65688,16,4.8940281867981,5.64120435714722
1737740256.65814,17,5.40784740447998,6.06656455993652
1737740256.66012,18,5.93031644821167,7.04536581039429
1737740256.66758,19,6.55372667312622,7.67544031143189
1737740256.66942,20,7.12702083587647,8.38735675811768
1737740256.67116,21,7.8504638671875,9.33783721923828
1737740256.67285,22,8.47937965393066,10.1933946609497
1737740256.67447,23,9.28711605072022,11.7551984786987
1737740256.67622,24,9.88045597076416,12.1580257415771
1737740256.67781,25,10.6116485595703,13.7958307266235
1737740256.67945,26,11.3123636245728,14.6519746780396
1737740256.68108,27,12.4620265960693,15.8893547058105
1737740256.6828,28,13.3248271942139,16.8386421203613
1737740256.68443,29,13.9209489822388,18.2290210723877
1737740256.68595,30,14.7009229660034,18.9157066345215
1737740256.68782,31,16.0534133911133,21.777364730835
1737740256.68988,32,16.9534435272217,23.2579383850098
